user_id,username,total_posts,total_likes,total_comments,,,,,
38,Jordyn.Jacobson2,4,85,116,,Frederik_Rice,122,91,6
39,Kelsi26,2,89,134,,Gerard79,138,81,6
40,Rafael.Hickle2,2,85,136,,Granville_Kutch,110,75,2
41,Mckenna17,0,257,514,,Gus93,120,85,8
42,Maya.Farrell,6,87,108,,Hailee26,120,90,4
43,Janet.Armstrong,10,86,144,,Harley_Lind18,134,79,8
44,Seth46,8,86,120,,Harrison.Beatty50,118,76,10
45,David.Osinski47,0,0,0,,Hulda.Macejkovic,0,0,0
46,Malinda_Streich,8,88,136,,Imani_Nicolas17,130,74,2
47,Harrison.Beatty50,10,76,118,,Irwin.Larson,112,91,8
48,Granville_Kutch,2,75,110,,Jaclyn81,514,257,0
49,Morgan.Kassulke,0,0,0,,Jaime53,0,0,16
50,Gerard79,6,81,138,,Janelle.Nikolaus81,514,257,0
51,Mariano_Koch3,10,0,0,,Janet.Armstrong,144,86,10
52,Zack_Kemmer93,10,85,112,,Javonte83,140,82,4
53,Linnea59,0,0,0,,Jaylan.Lakin,126,86,2
54,Duane60,0,257,514,,Jayson65,116,83,2
55,Meggie_Doyle,2,78,132,,Jessyca_West,0,0,0
56,Peter.Stehr0,2,81,136,,Jordyn.Jacobson2,116,85,4
57,Julien_Schmidt,0,257,514,,Josianne.Friesen,138,94,10
58,Aurelie71,16,0,0,,Julien_Schmidt,514,257,0
59,Cesar93,20,0,0,,Justina.Gaylord27,98,89,10
60,Sam52,4,86,144,,Kaley9,130,81,4
61,Jayson65,2,83,116,,Karley_Bosco,138,97,2
62,Ressie_Stanton46,4,88,116,,Kasandra_Homenick,0,0,0
63,Elenor88,8,83,160,,Katarina.Dibbert,136,75,2
64,Florence99,10,0,0,,Kathryn80,128,85,10
65,Adelle96,10,96,120,,Keenan.Schamberger60,150,98,6
66,Mike.Auer39,0,257,514,,Kelsi26,134,89,2
67,Emilio_Bernier52,6,86,152,,Kenneth64,134,91,2
68,Franco_Keebler64,0,0,0,,Kenton_Kirlin,0,0,10
69,Karley_Bosco,2,97,138,,Lennie_Hartmann40,134,92,4
70,Erick5,2,88,138,,Leslie67,514,257,0
71,Nia_Haag,0,257,514,,Linnea59,0,0,0
72,Kathryn80,10,85,128,,Malinda_Streich,136,88,8
73,Jaylan.Lakin,2,86,126,,Mariano_Koch3,0,0,10
74,Hulda.Macejkovic,0,0,0,,Maxwell.Halvorson,514,257,0
75,Leslie67,0,257,514,,Maya.Farrell,108,87,6
76,Janelle.Nikolaus81,0,257,514,,Mckenna17,514,257,0
77,Donald.Fritsch,12,0,0,,Meggie_Doyle,132,78,2
78,Colten.Harris76,10,83,120,,Mike.Auer39,514,257,0
79,Katarina.Dibbert,2,75,136,,Milford_Gleichner42,114,87,4
80,Darby_Herzog,0,0,0,,Morgan.Kassulke,0,0,0
81,Esther.Zulauf61,0,0,0,,Nia_Haag,514,257,0
82,Aracely.Johnston98,4,84,134,,Nicole71,136,86,4
83,Bartholome.Bernhard,0,0,0,,Norbert_Carroll35,166,78,6
84,Alysa22,4,75,152,,Odessa2,106,82,2
85,Milford_Gleichner42,4,87,114,,Ollie_Ledner37,514,257,0
86,Delfina_VonRueden68,18,0,0,,Pearl7,0,0,0
87,Rick29,8,92,148,,Peter.Stehr0,136,81,2
88,Clint27,22,0,0,,Presley_McClure,126,87,6
89,Jessyca_West,0,0,0,,Rafael.Hickle2,136,85,2
90,Esmeralda.Mraz57,0,0,0,,Ressie_Stanton46,116,88,4
91,Bethany20,0,257,514,,Rick29,148,92,8
92,Frederik_Rice,6,91,122,,Rocio33,514,257,0
93,Willie_Leuschke,4,91,126,,Sam52,144,86,4
94,Damon35,2,84,136,,Seth46,120,86,8
95,Nicole71,4,86,136,,Tabitha_Schamberger11,122,79,8
96,Keenan.Schamberger60,6,98,150,,Tierra.Trantow,0,0,0
97,Tomas.Beatty93,4,69,136,,Tomas.Beatty93,136,69,4
98,Imani_Nicolas17,2,74,130,,Travon.Waters,124,82,10
99,Alek_Watsica,6,74,136,,Willie_Leuschke,126,91,4
100,Javonte83,4,82,140,,Yazmin_Mills95,126,84,2
101,Kenton_Kirlin,0,0,0,,Yvette.Gottlieb91,122,77,10
102,Andre_Purdy85,0,0,0,,Zack_Kemmer93,112,85,10
103,Harley_Lind18,0,0,0,,Grand Total,14976,8782,514
104,Arely_Bogan63,0,0,0,,,,,
105,Aniya_Hackett,0,0,0,,,,,
106,Travon.Waters,0,0,0,,,,,
107,Kasandra_Homenick,0,0,0,,,,,
108,Tabitha_Schamberger11,0,0,0,,,,,
109,Gus93,0,0,0,,,,,
110,Presley_McClure,0,0,0,,,,,
111,Justina.Gaylord27,0,0,0,,,,,
112,Dereck65,0,0,0,,,,,
113,Alexandro35,0,0,0,,,,,
114,Jaclyn81,0,0,0,,,,,
115,Billy52,0,0,0,,,,,
116,Annalise.McKenzie16,0,0,0,,,,,
117,Norbert_Carroll35,0,0,0,,,,,
118,Odessa2,0,0,0,,,,,
119,Hailee26,0,0,0,,,,,
120,Delpha.Kihn,0,0,0,,,,,
121,Rocio33,0,0,0,,,,,
122,Kenneth64,0,0,0,,,,,
123,Eveline95,0,0,0,,,,,
124,Maxwell.Halvorson,0,0,0,,,,,
125,Tierra.Trantow,0,0,0,,,,,
126,Josianne.Friesen,0,0,0,,,,,
127,Darwin29,0,0,0,,,,,
128,Dario77,0,0,0,,,,,
129,Jaime53,0,0,0,,,,,
130,Kaley9,0,0,0,,,,,
131,Aiyana_Hoeger,0,0,0,,,,,
132,Irwin.Larson,0,0,0,,,,,
133,Yvette.Gottlieb91,0,0,0,,,,,
134,Pearl7,0,0,0,,,,,
135,Lennie_Hartmann40,0,0,0,,,,,
136,Ollie_Ledner37,0,0,0,,,,,
137,Yazmin_Mills95,0,0,0,,,,,
138,Jordyn.Jacobson2,0,0,0,,,,,
139,Kelsi26,0,0,0,,,,,
140,Rafael.Hickle2,0,0,0,,,,,
141,Mckenna17,0,0,0,,,,,
142,Maya.Farrell,0,0,0,,,,,
143,Janet.Armstrong,0,0,0,,,,,
144,Seth46,0,0,0,,,,,
145,David.Osinski47,0,0,0,,,,,
146,Malinda_Streich,0,0,0,,,,,
147,Harrison.Beatty50,0,0,0,,,,,
148,Granville_Kutch,0,0,0,,,,,
149,Morgan.Kassulke,0,0,0,,,,,
150,Gerard79,0,0,0,,,,,
151,Mariano_Koch3,0,0,0,,,,,
152,Zack_Kemmer93,0,0,0,,,,,
153,Linnea59,0,0,0,,,,,
154,Duane60,0,0,0,,,,,
155,Meggie_Doyle,0,0,0,,,,,
156,Peter.Stehr0,0,0,0,,,,,
157,Julien_Schmidt,0,0,0,,,,,
158,Aurelie71,0,0,0,,,,,
159,Cesar93,0,0,0,,,,,
160,Sam52,0,0,0,,,,,
161,Jayson65,0,0,0,,,,,
162,Ressie_Stanton46,0,0,0,,,,,
163,Elenor88,0,0,0,,,,,
164,Florence99,0,0,0,,,,,
165,Adelle96,0,0,0,,,,,
166,Mike.Auer39,0,0,0,,,,,
167,Emilio_Bernier52,0,0,0,,,,,
168,Franco_Keebler64,0,0,0,,,,,
169,Karley_Bosco,0,0,0,,,,,
170,Erick5,0,0,0,,,,,
171,Nia_Haag,0,0,0,,,,,
172,Kathryn80,0,0,0,,,,,
173,Jaylan.Lakin,0,0,0,,,,,
174,Hulda.Macejkovic,0,0,0,,,,,
175,Leslie67,0,0,0,,,,,
176,Janelle.Nikolaus81,0,0,0,,,,,
177,Donald.Fritsch,0,0,0,,,,,
178,Colten.Harris76,0,0,0,,,,,
179,Katarina.Dibbert,0,0,0,,,,,
180,Darby_Herzog,0,0,0,,,,,
181,Esther.Zulauf61,0,0,0,,,,,
182,Aracely.Johnston98,0,0,0,,,,,
183,Bartholome.Bernhard,0,0,0,,,,,
184,Alysa22,0,0,0,,,,,
185,Milford_Gleichner42,0,0,0,,,,,
186,Delfina_VonRueden68,0,0,0,,,,,
187,Rick29,0,0,0,,,,,
188,Clint27,0,0,0,,,,,
189,Jessyca_West,0,0,0,,,,,
190,Esmeralda.Mraz57,0,0,0,,,,,
191,Bethany20,0,0,0,,,,,
192,Frederik_Rice,0,0,0,,,,,
193,Willie_Leuschke,0,0,0,,,,,
194,Damon35,0,0,0,,,,,
195,Nicole71,0,0,0,,,,,
196,Keenan.Schamberger60,0,0,0,,,,,
197,Tomas.Beatty93,0,0,0,,,,,
198,Imani_Nicolas17,0,0,0,,,,,
199,Alek_Watsica,0,0,0,,,,,
200,Javonte83,0,0,0,,,,,
201,Kenton_Kirlin,0,0,0,,,,,
202,Andre_Purdy85,0,0,0,,,,,
203,Harley_Lind18,0,0,0,,,,,
204,Arely_Bogan63,0,0,0,,,,,
205,Aniya_Hackett,0,0,0,,,,,
206,Travon.Waters,0,0,0,,,,,
207,Kasandra_Homenick,0,0,0,,,,,
208,Tabitha_Schamberger11,0,0,0,,,,,
209,Gus93,0,0,0,,,,,
210,Presley_McClure,0,0,0,,,,,
211,Justina.Gaylord27,0,0,0,,,,,
212,Dereck65,0,0,0,,,,,
213,Alexandro35,0,0,0,,,,,
214,Jaclyn81,0,0,0,,,,,
215,Billy52,0,0,0,,,,,
216,Annalise.McKenzie16,0,0,0,,,,,
217,Norbert_Carroll35,0,0,0,,,,,
218,Odessa2,0,0,0,,,,,
219,Hailee26,0,0,0,,,,,
220,Delpha.Kihn,0,0,0,,,,,
221,Rocio33,0,0,0,,,,,
222,Kenneth64,0,0,0,,,,,
223,Eveline95,0,0,0,,,,,
224,Maxwell.Halvorson,0,0,0,,,,,
225,Tierra.Trantow,0,0,0,,,,,
226,Josianne.Friesen,0,0,0,,,,,
227,Darwin29,0,0,0,,,,,
228,Dario77,0,0,0,,,,,
229,Jaime53,0,0,0,,,,,
230,Kaley9,0,0,0,,,,,
231,Aiyana_Hoeger,0,0,0,,,,,
232,Irwin.Larson,0,0,0,,,,,
233,Yvette.Gottlieb91,0,0,0,,,,,
234,Pearl7,0,0,0,,,,,
235,Lennie_Hartmann40,0,0,0,,,,,
236,Ollie_Ledner37,0,0,0,,,,,
237,Yazmin_Mills95,0,0,0,,,,,
238,Jordyn.Jacobson2,0,0,0,,,,,
239,Kelsi26,0,0,0,,,,,
240,Rafael.Hickle2,0,0,0,,,,,
241,Mckenna17,0,0,0,,,,,
242,Maya.Farrell,0,0,0,,,,,
243,Janet.Armstrong,0,0,0,,,,,
244,Seth46,0,0,0,,,,,
245,David.Osinski47,0,0,0,,,,,
246,Malinda_Streich,0,0,0,,,,,
247,Harrison.Beatty50,0,0,0,,,,,
248,Granville_Kutch,0,0,0,,,,,
249,Morgan.Kassulke,0,0,0,,,,,
250,Gerard79,0,0,0,,,,,
251,Mariano_Koch3,0,0,0,,,,,
252,Zack_Kemmer93,0,0,0,,,,,
253,Linnea59,0,0,0,,,,,
254,Duane60,0,0,0,,,,,
255,Meggie_Doyle,0,0,0,,,,,
256,Peter.Stehr0,0,0,0,,,,,
257,Julien_Schmidt,0,0,0,,,,,
258,Aurelie71,0,0,0,,,,,
259,Cesar93,0,0,0,,,,,
260,Sam52,0,0,0,,,,,
261,Jayson65,0,0,0,,,,,
262,Ressie_Stanton46,0,0,0,,,,,
263,Elenor88,0,0,0,,,,,
264,Florence99,0,0,0,,,,,
265,Adelle96,0,0,0,,,,,
266,Mike.Auer39,0,0,0,,,,,
267,Emilio_Bernier52,0,0,0,,,,,
268,Franco_Keebler64,0,0,0,,,,,
269,Karley_Bosco,0,0,0,,,,,
270,Erick5,0,0,0,,,,,
271,Nia_Haag,0,0,0,,,,,
272,Kathryn80,0,0,0,,,,,
273,Jaylan.Lakin,0,0,0,,,,,
274,Hulda.Macejkovic,0,0,0,,,,,
275,Leslie67,0,0,0,,,,,
276,Janelle.Nikolaus81,0,0,0,,,,,
277,Donald.Fritsch,0,0,0,,,,,
278,Colten.Harris76,0,0,0,,,,,
279,Katarina.Dibbert,0,0,0,,,,,
280,Darby_Herzog,0,0,0,,,,,
281,Esther.Zulauf61,0,0,0,,,,,
282,Aracely.Johnston98,0,0,0,,,,,
283,Bartholome.Bernhard,0,0,0,,,,,
284,Alysa22,0,0,0,,,,,
285,Milford_Gleichner42,0,0,0,,,,,
286,Delfina_VonRueden68,0,0,0,,,,,
287,Rick29,0,0,0,,,,,
288,Clint27,0,0,0,,,,,
289,Jessyca_West,0,0,0,,,,,
290,Esmeralda.Mraz57,0,0,0,,,,,
291,Bethany20,0,0,0,,,,,
292,Frederik_Rice,0,0,0,,,,,
293,Willie_Leuschke,0,0,0,,,,,
294,Damon35,0,0,0,,,,,
295,Nicole71,0,0,0,,,,,
296,Keenan.Schamberger60,0,0,0,,,,,
297,Tomas.Beatty93,0,0,0,,,,,
298,Imani_Nicolas17,0,0,0,,,,,
299,Alek_Watsica,0,0,0,,,,,
300,Javonte83,0,0,0,,,,,
